ts_ms,session_id,bot_id,battery_v,sim.motors.Wheel.target_velocity,sim.motors.Wheel.velocity,sim.motors.Wheel.target_power,sim.motors.Wheel.power,sim.motors.Wheel.position,sim.motors.Wheel2.target_velocity,sim.motors.Wheel2.velocity,sim.motors.Wheel2.target_power,sim.motors.Wheel2.power,sim.motors.Wheel2.position,sim.motors.Intake.target_velocity,sim.motors.Intake.velocity,sim.motors.Intake.target_power,sim.motors.Intake.power,sim.motors.Intake.position,sim.lift.position,sim.lift.direction,sim.lift.pwm_enabled,sim.target_rpm,sim.measured_rpm,sim.ready,sim.locked_out,sim.spin_requested,sim.battery_v,sim.last_shot.rpm_at_fire,sim.last_shot.ready_latency_ms,sim.last_shot.fire_ts,sim.last_shot.recorded_ts_ms,sim.last_shot.shot_id
1763192894906,virt-867c65f0,virtual_shooter,13.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,FORWARD,True,0,0.0,False,False,False,12.6,,,,,
1763192894920,,,13.551,,,,,,,,,,,,,,,,,,,,,,,,12.6708260413875,,,,,
1763192895039,,,13.538,,,,,,,,,,,,,,,,,,,,,,,,12.706693994172502,,,,,
1763192895161,,,13.547,,,,,,,,,,,,,,,,,,,,,,,,12.750332725007505,,,,,
1763192895282,,,,,,,,,,,,,,,,,,,,,,,,,,,12.792169404105003,,,,,
1763192895402,,,13.551,,,,,,,,,,,,,,,,,,,,,,,,12.839054466979999,,,,,
1763192895522,,,13.547,,,,,,,,,,,,,,,,,,,,,,,,12.8879342842425,,,,,
1763192895645,,,,,,,,,,,,,,,,,,,,,,,,,,,12.938696584782502,,,,,
1763192895766,,,13.551,,,,,,,,,,,,,,,,,,,,,,,,12.987726040362503,,,,,
1763192895886,,,,,,,,,,,,,,,,,,,,,,,,,,,13.032334440072503,,,,,
1763192896008,,,,,,,,,,,,,,,,,,,,,,,,,,,13.076921014640005,,,,,
1763192896130,,,13.542,,,,,,,,,,,,,,,,,,,,,,,,13.119645915635004,,,,,
1763192896250,,,13.538,,,,,,,,,,,,,,,,,,,,,,,,13.167476366747502,,,,,
1763192896372,,,13.551,,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,,
1763192896494,,,13.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192896614,,,13.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192896735,,,13.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192896978,,,13.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192897101,,,13.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192897223,,,13.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192897344,,,13.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192897465,,,13.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192897586,,,13.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192897834,,,13.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192897955,,,13.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192898077,,,13.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192898199,,,13.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192898321,,,13.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192898443,,,13.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192898686,,,13.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192898932,,,13.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192899053,,,13.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192899173,,,13.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192899295,,,13.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763192900021,,,,1120.0,1120.0,0.8,0.8,2780.2363187980427,1120.0,1120.0,0.8,0.8,2780.2363187980427,,,,,,,,,2400,2397.300983638756,,,True,12.079373011886164,,,,,
1763192900143,,,,,,,,5554.086405358109,,,,,5554.086405358109,,,,,,,,,,2399.9995515489873,,,,10.969832977262138,,,,,
1763192900265,,,,,,,,8339.776205678083,,,,,8339.776205678083,,,,,,,,,,2399.9999999254887,,,,10.9,,,,,
1763192900387,,,13.551,,,,,11289.48374967809,,,,,11289.48374967809,,,,,,,,,,2399.999999999992,True,,,,,,,,
1763192900508,,,13.547,,,,,14157.921519918054,,,,,14157.921519918054,,,,,,,,,,2399.999999999999,,,,,,,,,
1763192900629,,,,,,,,16915.013596398094,,,,,16915.013596398094,,,,,,,,,,,,,,,,,,,
1763192900749,,,,,,,,19831.415176238046,,,,,19831.415176238046,,,,,,,,,,,,,,,,,,,
1763192900871,,,13.551,,,,,22825.519650158043,,,,,22825.519650158043,,,,,,,,,,,,,,,,,,,
1763192900993,,,13.547,,,,,25884.35444679811,,,,,25884.35444679811,,,,,,,,,,,,,,,,,,,
1763192901115,,,13.542,,,,,28585.799838478077,,,,,28585.799838478077,,,,,,,,,,,,,,,,,,,
1763192901236,,,13.547,,,,,31540.193391918103,,,,,31540.193391918103,,,,,,,,,,,,,,,,,,,
1763192901356,,,13.542,,,,,34181.83624023808,,,,,34181.83624023808,,,,,,,,,,,,,,,,,,,
1763192901478,,,13.547,,,,,37131.134766958,,,,,37131.134766958,,,,,,,,,,,,,,,,,,,
